ID,Name,CreditCard,Email,Birthday,PhoneNumber
10910,Otto Wei,4633 8515 5376 1721,OttoWei1994@tamu.edu,1994-07-23,(+1)146-785-8990
10911,Leopold Schmit,4497 5039 6935 7662,LeopoldSchmit2000@yahoo.com,2000-01-27,(+1)063-358-6817
10912,Albrecht Mülle,4316 7105 8093 0712,AlbrechtMülle1991@hotmail.com,1991-09-21,(+1)158-477-9172
10913,Ilse Küh,4489 3543 4785 3693,IlseKüh1991@tamu.edu,1991-10-22,(+1)543-362-0301
10914,Karl Hoffman,4484 8126 7512 6925,KarlHoffman1995@yahoo.com,1995-05-13,(+1)864-859-3210
10915,Anja Fran,4040 2677 4529 0064,AnjaFran1998@yahoo.com,1998-07-23,(+1)305-539-6272
10916,Sigmund Voge,4418 5251 1401 2454,SigmundVoge2004@yahoo.com,2004-08-28,(+1)458-761-1698
10917,Sabine Wagne,4592 3980 6154 6208,SabineWagne2002@gmail.com,2002-06-11,(+1)436-132-5840
10918,Lotte Mölle,4330 5995 1401 8808,LotteMölle1995@yahoo.com,1995-02-13,(+1)682-373-3963
10919,Rosamund Schäfe,4074 5570 4831 9649,RosamundSchäfe1990@gmail.com,1990-11-17,(+1)895-115-7289
10920,Udo Thoma,4003 3950 0539 6642,UdoThoma2003@yahoo.com,2003-05-03,(+1)896-939-8793
10921,Ulrich Kraus,4245 7246 0181 9329,UlrichKraus1991@yahoo.com,1991-12-12,(+1)410-405-2867
10922,Günther Kräme,4525 3521 7073 3155,GüntherKräme2005@gmail.com,2005-06-17,(+1)255-016-2890
10923,Kiefer Mölle,4334 3559 1513 4012,KieferMölle1992@hotmail.com,1992-04-02,(+1)180-831-0557
10924,Kiefer Meie,4339 5734 7356 5446,KieferMeie1996@tamu.edu,1996-06-18,(+1)908-176-4352
10925,Albrecht Schneide,4876 6374 1849 7206,AlbrechtSchneide2009@tamu.edu,2009-10-06,(+1)686-652-3190
10926,Kiefer Bergman,4546 0624 7244 5470,KieferBergman1992@tamu.edu,1992-11-07,(+1)437-523-4134
10927,Werner Mölle,4717 1907 1869 2796,WernerMölle1995@gmail.com,1995-02-13,(+1)030-122-1798
10928,Wolfgang Peter,4834 0083 4031 9913,WolfgangPeter1998@gmail.com,1998-07-18,(+1)949-750-9078
10929,Elke Jun,4686 7939 3807 1916,ElkeJun1993@tamu.edu,1993-09-17,(+1)995-069-4663
10930,Margarethe Peter,4870 5238 0346 1763,MargarethePeter2007@tamu.edu,2007-07-10,(+1)537-688-1271
10931,Ilse Ludwi,4055 6932 8081 2068,IlseLudwi2003@tamu.edu,2003-08-12,(+1)952-842-3916
10932,Stefanie Maie,4146 3243 1415 4222,StefanieMaie2001@yahoo.com,2001-06-01,(+1)145-019-0286
10933,Rosamund Brand,4263 5382 9748 2787,RosamundBrand1990@tamu.edu,1990-08-24,(+1)095-429-7897
10934,Klara Küh,4639 7871 0611 1624,KlaraKüh2005@hotmail.com,2005-11-04,(+1)382-952-5073
10935,Johann Schmi,4633 1445 3232 1886,JohannSchmi1990@gmail.com,1990-02-28,(+1)664-251-5079
10936,Elke Lehman,4970 8897 7573 8130,ElkeLehman2001@tamu.edu,2001-07-28,(+1)407-239-3382
10937,Bruno Schol,4826 9463 7624 3066,BrunoSchol1995@tamu.edu,1995-09-27,(+1)011-211-0990
10938,Gisele Schmid,4181 7845 1553 9935,GiseleSchmid2008@yahoo.com,2008-03-24,(+1)894-029-0918
10939,Klara Arnol,4454 3917 7282 2950,KlaraArnol2000@yahoo.com,2000-04-20,(+1)453-060-1661
10940,Matthias Voge,4388 1477 1667 1576,MatthiasVoge1999@tamu.edu,1999-12-28,(+1)906-251-2946
10941,Kiefer Heinric,4293 6374 4386 9781,KieferHeinric2000@gmail.com,2000-03-12,(+1)989-134-8142
10942,Florian Gro,4043 9833 3249 2584,FlorianGro2003@yahoo.com,2003-03-22,(+1)404-354-3169
10943,Matthias Krau,4335 5191 5230 8493,MatthiasKrau2006@tamu.edu,2006-09-26,(+1)804-927-1746
10944,Sigmund Wolf,4864 1637 2465 4619,SigmundWolf2000@hotmail.com,2000-06-12,(+1)582-138-1691
10945,Sigmund Seide,4656 4569 0400 5973,SigmundSeide1990@gmail.com,1990-08-19,(+1)187-297-2622
10946,Lorelei Frank,4415 2434 4515 4520,LoreleiFrank1992@gmail.com,1992-08-20,(+1)968-842-0734
10947,Kurt Rot,4860 1914 4058 8647,KurtRot2010@yahoo.com,2010-01-05,(+1)079-310-2894
10948,Anneliese Schult,4413 7360 4693 5102,AnnelieseSchult1996@gmail.com,1996-04-21,(+1)151-021-3427
10949,Annike Kuh,4289 8544 1183 5866,AnnikeKuh2009@tamu.edu,2009-08-10,(+1)494-819-0566
10950,Dirk Hartman,4669 8270 3411 6754,DirkHartman2005@tamu.edu,2005-09-19,(+1)954-281-9484
10951,Annike Meie,4760 3544 6864 5463,AnnikeMeie1993@yahoo.com,1993-02-22,(+1)631-061-1287
10952,Karl Schwar,4788 2683 8354 7817,KarlSchwar1994@yahoo.com,1994-08-18,(+1)538-840-5121
10953,Renate Fische,4489 9134 4805 7787,RenateFische1993@yahoo.com,1993-09-17,(+1)120-337-0311
10954,Günther Poh,4185 2066 0827 0007,GüntherPoh2005@tamu.edu,2005-03-03,(+1)021-525-6528
10955,Margarethe Frank,4035 7738 1150 4717,MargaretheFrank1992@gmail.com,1992-01-21,(+1)241-974-2205
10956,Lorelei Schwar,4776 3731 5889 3108,LoreleiSchwar2007@yahoo.com,2007-10-10,(+1)131-649-4603
10957,Katharina Krau,4366 5165 6964 6850,KatharinaKrau1994@tamu.edu,1994-08-12,(+1)955-338-4981
10958,Sigmund Schmit,4679 4403 1168 4289,SigmundSchmit1992@tamu.edu,1992-11-23,(+1)789-783-3862
10959,Ludwig Schul,4627 8378 7941 9393,LudwigSchul2007@tamu.edu,2007-11-17,(+1)073-856-8557
10960,Lotte Schwar,4367 5113 1812 9779,LotteSchwar1998@gmail.com,1998-07-21,(+1)481-017-1019
10961,Stefanie Klei,4830 6146 7500 9075,StefanieKlei1997@yahoo.com,1997-12-10,(+1)121-797-1479
10962,Mathilde Küh,4879 0822 6484 8417,MathildeKüh1994@gmail.com,1994-01-07,(+1)823-715-0434
10963,Johann Hube,4907 1213 0923 7498,JohannHube1997@gmail.com,1997-09-09,(+1)935-200-4873
10964,Mathilde Krüge,4760 2084 6390 0273,MathildeKrüge1998@gmail.com,1998-04-18,(+1)601-079-4203
10965,Bruno Koc,4605 3698 2940 2349,BrunoKoc2007@gmail.com,2007-08-26,(+1)256-702-4355
10966,Kurt Becke,4230 9772 3043 1472,KurtBecke1999@yahoo.com,1999-10-17,(+1)595-144-9128
10967,Udo Meie,4639 8301 2476 4650,UdoMeie1993@yahoo.com,1993-03-04,(+1)553-847-3624
10968,Marlene Poh,4168 6042 0947 7274,MarlenePoh1995@yahoo.com,1995-10-19,(+1)960-764-3457
10969,Christoph Schult,4689 6131 7081 1807,ChristophSchult1999@gmail.com,1999-12-11,(+1)797-301-5851
10970,Lothar Wei,4505 5233 5913 1746,LotharWei1990@tamu.edu,1990-11-09,(+1)415-078-8998
10971,Anja Hube,4270 9396 8242 0006,AnjaHube1997@hotmail.com,1997-08-24,(+1)656-214-5808
10972,Thalia Othono,4018 8932 9638 7792,ThaliaOthono1995@yahoo.com,1995-12-28,(+1)942-602-7817
10973,Haroula Halkia,4694 5865 5085 1203,HaroulaHalkia2002@hotmail.com,2002-10-12,(+1)961-936-5978
10974,George Economo,4488 6596 3154 6857,GeorgeEconomo1997@tamu.edu,1997-09-04,(+1)035-243-5603
10975,Socrates Dougeni,4434 5653 2450 9502,SocratesDougeni1997@yahoo.com,1997-09-17,(+1)712-872-8474
10976,Christina Tavoulari,4966 5586 9744 5203,ChristinaTavoulari1991@gmail.com,1991-06-24,(+1)888-624-3023
10977,Theophilos Zerva,4272 6417 1424 7086,TheophilosZerva2006@tamu.edu,2006-06-25,(+1)502-793-4626
10978,Calisto Leka,4389 0188 9374 0469,CalistoLeka2006@gmail.com,2006-05-15,(+1)901-068-0806
10979,Panagiotis Rapti,4243 3275 5489 8864,PanagiotisRapti2000@yahoo.com,2000-05-08,(+1)584-232-6630
10980,Phoebe Vasilaki,4109 0327 8509 9617,PhoebeVasilaki1990@gmail.com,1990-01-03,(+1)999-070-6316
10981,Irene Christoforo,4820 4085 7560 5935,IreneChristoforo2002@gmail.com,2002-04-27,(+1)802-133-4607
10982,Magdalen Galani,4189 9744 2074 3720,MagdalenGalani2006@hotmail.com,2006-03-28,(+1)592-473-2187
10983,Calisto Fil,4657 8081 4181 1064,CalistoFil1994@hotmail.com,1994-07-04,(+1)008-283-9610
10984,Panagiotis Georgio,4710 9445 3093 7650,PanagiotisGeorgio2001@yahoo.com,2001-07-17,(+1)887-319-0079
10985,Nefeli Foto,4483 1517 6534 1228,NefeliFoto2001@gmail.com,2001-07-05,(+1)118-515-8541
10986,Corinna Leventi,4932 4687 8736 2886,CorinnaLeventi1997@tamu.edu,1997-11-27,(+1)958-288-3198
10987,Fay Chloro,4483 9449 5310 9935,FayChloro1996@hotmail.com,1996-11-01,(+1)945-540-6822
10988,Pandora Agathangelo,4386 5472 9404 9602,PandoraAgathangelo1991@hotmail.com,1991-05-07,(+1)429-717-1389
10989,Aleka Balaska,4618 5060 4904 5730,AlekaBalaska2008@hotmail.com,2008-07-11,(+1)809-400-8531
10990,Agape Arit,4180 2513 4139 8139,AgapeArit1993@tamu.edu,1993-11-04,(+1)682-048-5166
10991,Alexander Arit,4066 4623 7912 9341,AlexanderArit2005@gmail.com,2005-02-06,(+1)328-626-8087
10992,Sarantos Christodoulopoulo,4343 3011 6635 2598,SarantosChristodoulopoulo1997@yahoo.com,1997-06-07,(+1)221-885-1162
10993,Magdalen Samara,4990 9581 8107 3003,MagdalenSamara1990@tamu.edu,1990-03-22,(+1)866-696-3049
10994,Angeliki Eliade,4337 1276 4560 5644,AngelikiEliade2004@yahoo.com,2004-01-10,(+1)089-550-1316
10995,Christina Vasso,4792 6538 2226 2959,ChristinaVasso1990@yahoo.com,1990-12-21,(+1)409-745-8591
10996,Nektaria Chacona,4124 4215 1044 9104,NektariaChacona1990@tamu.edu,1990-02-14,(+1)242-707-3283
10997,Ioanna Malla,4956 5566 4417 7592,IoannaMalla2003@yahoo.com,2003-10-28,(+1)977-891-2139
10998,Adonia Eliopoulo,4510 3275 1496 5392,AdoniaEliopoulo2001@yahoo.com,2001-04-10,(+1)657-924-3927
10999,Lydia Ioanno,4340 0693 4058 3104,LydiaIoanno1997@hotmail.com,1997-07-17,(+1)713-983-9361
11000,Nike Andin,4215 9219 9926 8141,NikeAndin1990@yahoo.com,1990-09-10,(+1)689-160-8784
11001,Anastasia Driva,4505 6327 4273 5933,AnastasiaDriva2010@tamu.edu,2010-10-01,(+1)141-834-7230
11002,Ajax Vouval,4300 0485 4978 4236,AjaxVouval1994@hotmail.com,1994-10-01,(+1)540-235-8666
11003,Eva Frangopoulo,4652 8666 4786 2075,EvaFrangopoulo1990@hotmail.com,1990-07-19,(+1)551-138-4529
11004,Marina Yiannopoulo,4660 6168 9802 7318,MarinaYiannopoulo1995@gmail.com,1995-11-23,(+1)022-996-6109
11005,Spartacus Hatzi,4433 2133 8014 1793,SpartacusHatzi1997@hotmail.com,1997-02-24,(+1)427-467-2377
11006,Argyro Christodoulopoulo,4780 9769 4795 1563,ArgyroChristodoulopoulo2001@yahoo.com,2001-01-03,(+1)814-232-0708
11007,Theophanis Driva,4778 2262 4689 8267,TheophanisDriva1996@gmail.com,1996-11-01,(+1)466-159-0992
11008,Stratos Diamandi,4514 7162 9552 6183,StratosDiamandi2008@tamu.edu,2008-03-12,(+1)285-360-6319
11009,Anastasios Cirill,4206 7210 6351 2072,AnastasiosCirill2002@hotmail.com,2002-04-22,(+1)151-288-6557
11010,Maximos Konstantinopolite,4011 7459 9851 9675,MaximosKonstantinopolite2008@hotmail.com,2008-12-09,(+1)189-187-6997
11011,Stefanos Tsaoussi,4414 9896 0559 0600,StefanosTsaoussi2001@hotmail.com,2001-08-23,(+1)595-217-0009
11012,Aphrodite Iraklidi,4172 7779 2386 7622,AphroditeIraklidi1990@tamu.edu,1990-08-27,(+1)336-073-3858
11013,Calisto Hondro,4680 0871 2249 7711,CalistoHondro2005@gmail.com,2005-08-12,(+1)322-875-1425
11014,Athanasios Eliopoulo,4802 6322 8490 6484,AthanasiosEliopoulo1995@tamu.edu,1995-06-01,(+1)109-027-9161
11015,Kyriaki Lykaio,4217 4275 0056 0412,KyriakiLykaio2010@tamu.edu,2010-12-18,(+1)832-297-7822
11016,Adonis Eliade,4537 3034 2189 7291,AdonisEliade2004@hotmail.com,2004-08-08,(+1)863-322-6042
11017,Alexia Gatak,4053 8122 8318 4942,AlexiaGatak2003@hotmail.com,2003-03-23,(+1)205-942-5686
11018,Athanasios Hasap,4994 9797 2423 1131,AthanasiosHasap2003@yahoo.com,2003-05-21,(+1)987-485-5310
11019,Helen Bakirtzi,4618 5938 7603 7660,HelenBakirtzi1996@tamu.edu,1996-10-25,(+1)412-017-6188
11020,Spartacus Xiphia,4988 4529 3852 7537,SpartacusXiphia2001@hotmail.com,2001-09-07,(+1)229-739-7090
11021,Elias Mavro,4826 2757 6304 9619,EliasMavro2008@hotmail.com,2008-04-11,(+1)528-054-2533
11022,Vassilia Elia,4058 9869 1575 4188,VassiliaElia2006@tamu.edu,2006-12-01,(+1)220-039-0113
11023,Alexander Condo,4751 8636 5274 6710,AlexanderCondo2004@hotmail.com,2004-06-23,(+1)055-028-5531
11024,Matthew Aeto,4329 6526 0656 0808,MatthewAeto1992@gmail.com,1992-12-17,(+1)063-294-0775
11025,Corinna Boura,4715 0217 8986 7933,CorinnaBoura2002@gmail.com,2002-05-08,(+1)285-248-5758
11026,Eva Mandrapilia,4983 4219 5566 1169,EvaMandrapilia2006@tamu.edu,2006-09-23,(+1)317-891-4889
11027,Ariadne Miko,4986 7770 4847 9140,AriadneMiko1996@gmail.com,1996-07-04,(+1)917-539-2053
11028,Nektarios Galani,4551 6499 8223 9742,NektariosGalani1998@yahoo.com,1998-01-20,(+1)295-452-8085
11029,Nike Tsaoussi,4127 5824 6596 1714,NikeTsaoussi2010@yahoo.com,2010-05-12,(+1)147-722-3463
11030,Alexis Dougeni,4449 7872 8535 1158,AlexisDougeni1998@yahoo.com,1998-06-13,(+1)445-526-5054
11031,Eleftheria Zafeirio,4900 6732 3076 0404,EleftheriaZafeirio1999@tamu.edu,1999-03-23,(+1)418-030-4422
11032,Helen Voulgaropoulo,4581 7980 5404 6135,HelenVoulgaropoulo1998@hotmail.com,1998-04-27,(+1)024-809-0744
11033,Kyriaki Douka,4436 6498 0729 3929,KyriakiDouka2001@gmail.com,2001-08-27,(+1)834-803-4399
11034,Penelope Panago,4394 0188 7259 8977,PenelopePanago2004@yahoo.com,2004-10-21,(+1)022-046-9318
11035,Nikolas Xiphia,4523 4869 5068 7026,NikolasXiphia2010@hotmail.com,2010-07-09,(+1)088-963-3441
11036,Elpidoforos Andin,4444 3106 9703 1475,ElpidoforosAndin1996@hotmail.com,1996-08-25,(+1)355-490-8798
11037,Phoebe Arit,4090 1091 8578 5999,PhoebeArit1990@hotmail.com,1990-10-21,(+1)786-797-1523
11038,Georgia Leventi,4158 2027 1973 4072,GeorgiaLeventi2008@hotmail.com,2008-08-02,(+1)500-123-8605
11039,Fay Zik,4385 6300 8060 5501,FayZik2009@hotmail.com,2009-01-05,(+1)691-218-0237
11040,Dionysius Aeto,4999 3315 2028 7492,DionysiusAeto1992@tamu.edu,1992-04-27,(+1)848-251-9364
11041,Calliope Castellano,4143 6028 9912 0254,CalliopeCastellano2010@hotmail.com,2010-03-10,(+1)333-807-0685
11042,Stefania Vasso,4909 0464 1052 0019,StefaniaVasso1993@gmail.com,1993-01-16,(+1)514-238-0792
11043,Sophia Bakirtzi,4770 8443 8828 5082,SophiaBakirtzi2010@gmail.com,2010-11-20,(+1)361-173-3369
11044,Nektarios Elia,4012 1798 5410 8392,NektariosElia2000@yahoo.com,2000-02-15,(+1)338-875-7936
11045,Dorothea Baro,4903 7322 2022 4295,DorotheaBaro1999@tamu.edu,1999-01-02,(+1)264-675-3810
11046,Alexis Argyro,4846 0030 8504 2309,AlexisArgyro2004@hotmail.com,2004-10-03,(+1)585-945-1064
11047,Petros Cirill,4534 3010 7544 3119,PetrosCirill1991@hotmail.com,1991-07-15,(+1)782-173-9437
11048,Fay Onasi,4591 9649 3620 2872,FayOnasi2010@tamu.edu,2010-07-02,(+1)422-248-0744
11049,Panagiota Miko,4893 5226 8545 7678,PanagiotaMiko2009@yahoo.com,2009-02-01,(+1)671-682-6572
11050,Catherine Rousopoulo,4100 4491 4185 9290,CatherineRousopoulo1998@yahoo.com,1998-12-19,(+1)860-974-3663
11051,Cleopatra Hondro,4786 7848 0809 2667,CleopatraHondro1992@hotmail.com,1992-08-10,(+1)093-019-3701
11052,Sophia Kappa,4635 2669 3676 6555,SophiaKappa2003@tamu.edu,2003-03-24,(+1)416-732-0078
11053,Pandora Vouval,4748 1928 0912 9650,PandoraVouval1996@yahoo.com,1996-05-21,(+1)870-443-6621
11054,Magdalen Zik,4901 5713 2151 3407,MagdalenZik2002@hotmail.com,2002-06-25,(+1)538-447-5564
11055,Agape Galata,4630 6884 1461 6507,AgapeGalata1992@gmail.com,1992-05-12,(+1)749-441-3114
11056,Apostolis Baro,4004 8919 0158 7452,ApostolisBaro1993@tamu.edu,1993-04-22,(+1)101-567-0773
11057,Corinna Boura,4793 0370 6837 5047,CorinnaBoura2005@tamu.edu,2005-06-07,(+1)117-697-1762
11058,Keiki Iordano,4583 8209 5404 6681,KeikiIordano1997@hotmail.com,1997-10-24,(+1)171-166-3816
11059,Odysseus Georgio,4868 9047 6081 4542,OdysseusGeorgio1999@gmail.com,1999-05-06,(+1)109-929-0387
11060,Eva Gatak,4399 8079 3478 9182,EvaGatak1996@hotmail.com,1996-01-20,(+1)014-626-2024
11061,Marios Teres,4528 1433 7941 2473,MariosTeres1990@gmail.com,1990-02-15,(+1)448-127-9417
11062,Isidoros Dougeni,4486 4418 2654 7498,IsidorosDougeni1990@gmail.com,1990-07-21,(+1)088-607-4207
11063,Spartacus Economo,4443 1324 6897 1356,SpartacusEconomo1997@hotmail.com,1997-02-07,(+1)949-142-6693
11064,Dionysia Georgiade,4352 3739 0534 1396,DionysiaGeorgiade2003@hotmail.com,2003-02-19,(+1)509-611-3450
11065,Panagiotis Zik,4936 3721 5610 0689,PanagiotisZik2000@hotmail.com,2000-11-05,(+1)964-896-0986
11066,Zeus Kappa,4901 5817 5059 6075,ZeusKappa2004@gmail.com,2004-10-13,(+1)605-821-1137
11067,Michael Sagon,4377 7907 8430 4779,MichaelSagon1990@tamu.edu,1990-09-28,(+1)888-147-0518
11068,Ambrosia Iraklidi,4876 0648 8709 6557,AmbrosiaIraklidi1993@hotmail.com,1993-06-20,(+1)412-674-1410
11069,Cleopatra Galata,4120 9330 0893 3020,CleopatraGalata1995@tamu.edu,1995-03-14,(+1)442-007-0611
11070,Agamemnon Leventi,4527 1830 3169 4122,AgamemnonLeventi2000@hotmail.com,2000-07-25,(+1)312-655-3592
11071,Helen Sotiropoulo,4792 8437 6667 1978,HelenSotiropoulo1997@tamu.edu,1997-12-18,(+1)809-014-7564
11072,Alamea Kalawaiʻ,4958 4159 9475 6755,AlameaKalawaiʻ2003@tamu.edu,2003-01-27,(+1)916-922-6457
11073,Leia Konan,4789 6068 8839 4608,LeiaKonan1990@yahoo.com,1990-10-16,(+1)474-923-2243
11074,Maleko An,4045 2401 3045 9455,MalekoAn2004@gmail.com,2004-01-27,(+1)881-227-8628
11075,Bane Alam,4661 2944 6334 3668,BaneAlam2006@gmail.com,2006-12-03,(+1)619-003-5749
11076,Kali Hikialan,4220 0396 8450 0007,KaliHikialan1996@hotmail.com,1996-10-18,(+1)273-622-8414
11077,Hailama Makal,4464 7304 2989 2802,HailamaMakal1998@gmail.com,1998-10-12,(+1)684-095-6180
11078,Iulio Kealohilan,4567 5334 5501 2619,IulioKealohilan2009@tamu.edu,2009-12-22,(+1)443-783-5138
11079,Kale Aloh,4679 2885 9086 3319,KaleAloh2002@gmail.com,2002-06-28,(+1)655-728-9015
11080,Halia Etan,4292 3457 9691 6936,HaliaEtan2010@yahoo.com,2010-12-13,(+1)166-688-2940
11081,Alana Kale,4212 8341 2591 3199,AlanaKale1990@hotmail.com,1990-11-22,(+1)190-755-8795
11082,Kimo Kan,4122 0447 8698 3456,KimoKan1995@hotmail.com,1995-03-24,(+1)261-198-2807
11083,Kapono Makai,4308 1069 6847 7623,KaponoMakai2009@yahoo.com,2009-02-08,(+1)721-012-2690
11084,Kalei Hal,4726 8795 0051 0187,KaleiHal2008@yahoo.com,2008-11-03,(+1)339-475-5308
11085,Kana Palakik,4086 7499 5941 8864,KanaPalakik1992@hotmail.com,1992-11-03,(+1)030-792-7655
11086,Kaleo Nan,4892 7506 7009 5166,KaleoNan2008@hotmail.com,2008-01-21,(+1)231-564-5595
11087,Lokelani Akan,4079 2471 2018 3277,LokelaniAkan2004@tamu.edu,2004-10-19,(+1)294-853-0244
11088,Akoni Nan,4011 4940 8575 7957,AkoniNan2001@hotmail.com,2001-02-25,(+1)970-484-4601
11089,Akoni Makai,4104 8144 7464 4240,AkoniMakai1998@yahoo.com,1998-05-02,(+1)544-920-1156
11090,Kimo Keon,4406 8484 5784 2490,KimoKeon2007@yahoo.com,2007-08-03,(+1)924-399-0176
11091,Kaia Man,4930 1465 6520 0149,KaiaMan1998@gmail.com,1998-06-10,(+1)040-104-1302
11092,Kale Mahelon,4938 4415 7853 2571,KaleMahelon1998@gmail.com,1998-11-03,(+1)571-203-1989
11093,Kali Kahel,4632 7061 3302 9030,KaliKahel1990@yahoo.com,1990-03-28,(+1)159-613-3321
11094,Kalani Kulan,4501 3207 7505 1901,KalaniKulan2000@gmail.com,2000-06-12,(+1)589-431-2309
11095,Okalani Ak,4184 7274 8978 0257,OkalaniAk1998@hotmail.com,1998-04-17,(+1)011-320-6217
11096,Makaio Lud,4670 4462 8187 2697,MakaioLud1998@yahoo.com,1998-01-03,(+1)675-389-3382
11097,Luana An,4587 2186 6538 9241,LuanaAn1995@yahoo.com,1995-04-14,(+1)853-393-0707
11098,Kalei Kehaulan,4950 7858 2730 2474,KaleiKehaulan2000@gmail.com,2000-07-24,(+1)635-168-2812
11099,Bane Won,4909 9133 6939 4688,BaneWon1992@yahoo.com,1992-02-10,(+1)735-595-3180
11100,Havika Likek,4158 6367 0450 3939,HavikaLikek1999@yahoo.com,1999-06-22,(+1)960-683-4548
11101,Kaia Leilan,4344 4854 0940 3527,KaiaLeilan2007@gmail.com,2007-07-04,(+1)351-304-2751
11102,Mililani Likek,4657 9572 8186 0179,MililaniLikek2003@hotmail.com,2003-06-09,(+1)805-501-4121
11103,Leia Kahal,4414 2144 7571 5138,LeiaKahal1995@hotmail.com,1995-06-03,(+1)458-830-9189
11104,Kaia Kan,4993 6782 6702 8679,KaiaKan1998@tamu.edu,1998-07-09,(+1)383-764-2521
11105,Kaia Hal,4634 2522 9611 7108,KaiaHal1990@yahoo.com,1990-12-07,(+1)689-010-0962
11106,Okalani Auka,4813 4997 8326 2475,OkalaniAuka1998@hotmail.com,1998-01-19,(+1)575-024-2116
11107,Haukea Alik,4822 1009 8148 8115,HaukeaAlik2001@tamu.edu,2001-12-17,(+1)857-438-5163
11108,Mililani Anel,4089 6234 7262 8089,MililaniAnel1993@yahoo.com,1993-04-23,(+1)132-689-5935
11109,Leilani Leilan,4381 1402 8067 5103,LeilaniLeilan2006@hotmail.com,2006-12-25,(+1)434-092-5194
11110,Ionakana Kale,4443 2851 4127 7531,IonakanaKale1996@hotmail.com,1996-01-09,(+1)963-484-7393
11111,Makani Kan,4444 1340 3029 9519,MakaniKan2008@yahoo.com,2008-06-24,(+1)059-630-5333
11112,Kailani Palakik,4073 0394 2379 4905,KailaniPalakik1993@yahoo.com,1993-11-27,(+1)686-781-9484
11113,Koi Alam,4543 3320 7726 7755,KoiAlam2007@yahoo.com,2007-03-23,(+1)532-084-9791
11114,Nana Kahananu,4868 4947 5279 5455,NanaKahananu1999@gmail.com,1999-06-28,(+1)531-423-1320
11115,Mano Likek,4780 3962 0845 0136,ManoLikek1996@hotmail.com,1996-05-15,(+1)644-327-9403
11116,Alana Kay,4946 9554 3115 7569,AlanaKay1992@hotmail.com,1992-12-01,(+1)682-998-7100
11117,Anakoni Kalan,4916 8621 2424 5076,AnakoniKalan2005@gmail.com,2005-03-12,(+1)464-021-0670
11118,Havika Isai,4180 3459 6233 0766,HavikaIsai2008@gmail.com,2008-11-02,(+1)074-978-2233
11119,Keoni Kealan,4263 7180 0949 8848,KeoniKealan1994@yahoo.com,1994-01-15,(+1)729-465-7383
11120,Keoni Kan,4665 8000 2506 5966,KeoniKan1990@yahoo.com,1990-03-02,(+1)340-150-5167
11121,Kai Aloh,4962 4696 3285 5376,KaiAloh1995@yahoo.com,1995-04-07,(+1)778-278-2313
11122,Lilo Kan,4101 7176 5266 0178,LiloKan2009@yahoo.com,2009-03-11,(+1)784-813-8820
11123,Kapono Ai’la’aus,4181 1192 4480 7515,KaponoAi’la’aus1997@yahoo.com,1997-05-27,(+1)177-986-2948
11124,Anakoni Kay,4418 3746 7552 1095,AnakoniKay1993@hotmail.com,1993-06-11,(+1)964-471-4383
11125,Makani Aloh,4547 5453 8950 0200,MakaniAloh2010@yahoo.com,2010-09-26,(+1)619-163-4446
11126,Alamea Ka’uhan,4030 9896 2341 9025,AlameaKa’uhan1992@yahoo.com,1992-09-05,(+1)168-181-0478
11127,Naia Anakon,4748 9615 4759 1805,NaiaAnakon1992@tamu.edu,1992-02-19,(+1)040-834-7089
11128,Okalani Ka’uhan,4150 1903 7461 6460,OkalaniKa’uhan1992@tamu.edu,1992-04-24,(+1)441-803-5810
11129,Koi Kean,4760 3966 3239 3761,KoiKean1991@gmail.com,1991-05-17,(+1)438-038-2048
11130,Keanu Ai’la’aus,4021 7038 9438 4226,KeanuAi’la’aus1991@tamu.edu,1991-08-17,(+1)611-230-1272
11131,Mano Kamealoh,4122 4709 0903 7687,ManoKamealoh2001@yahoo.com,2001-01-17,(+1)933-017-9677
11132,Kaleo Kale,4282 1139 7753 3899,KaleoKale1991@tamu.edu,1991-06-12,(+1)528-621-0006
11133,Malia Hao,4020 0576 5334 4259,MaliaHao1996@yahoo.com,1996-03-25,(+1)308-903-0736
11134,Hailama Kean,4656 8684 1020 2975,HailamaKean1996@gmail.com,1996-05-01,(+1)412-861-2067
11135,Alamea Kealan,4771 7685 5343 2385,AlameaKealan1990@tamu.edu,1990-01-25,(+1)935-595-9915
11136,Akoni Kealohilan,4507 3418 4637 2606,AkoniKealohilan1996@yahoo.com,1996-05-06,(+1)598-032-3369
11137,Ionakana Nan,4493 8012 5226 0940,IonakanaNan1999@tamu.edu,1999-01-11,(+1)359-218-7693
11138,Koi Kian,4417 6542 3611 3863,KoiKian1999@yahoo.com,1999-03-26,(+1)961-031-1314
11139,Kale Hekeki,4701 7847 3877 3631,KaleHekeki1992@gmail.com,1992-07-08,(+1)019-590-9242
11140,Havika Ka’uhan,4993 7262 2797 1349,HavikaKa’uhan1990@yahoo.com,1990-08-12,(+1)822-624-9791
11141,Havika Kahananu,4216 5644 6822 1161,HavikaKahananu1991@hotmail.com,1991-04-09,(+1)574-775-0886
11142,Akamu Kan,4763 3747 3006 7358,AkamuKan2008@hotmail.com,2008-09-01,(+1)254-256-1015
11143,Iulio Havik,4003 5710 8504 6606,IulioHavik2005@gmail.com,2005-05-21,(+1)636-591-3180
11144,Bane Isai,4578 2491 9484 6528,BaneIsai1991@yahoo.com,1991-05-01,(+1)753-911-2408
